,Year,Removals,Administrative Returns,Enforcement Returns,Expulsions,Total Deportations,Presidential Administration,Political Party,Average_total,Average Republican,Average Democrat
0,1892,2801,0.0,0.0,0,2801.0,Benjamin Harrison,Republican,463137.35114503815,453684.27142857143,473985.1475409836
1,1893,1630,0.0,0.0,0,1630.0,Benjamin Harrison,Republican,463137.35114503815,453684.27142857143,473985.1475409836
2,1894,1806,0.0,0.0,0,1806.0,Benjamin Harrison,Republican,463137.35114503815,453684.27142857143,473985.1475409836
3,1895,2596,0.0,0.0,0,2596.0,Grover Cleveland,Democrat,463137.35114503815,453684.27142857143,473985.1475409836
4,1896,3037,0.0,0.0,0,3037.0,Grover Cleveland,Democrat,463137.35114503815,453684.27142857143,473985.1475409836
5,1897,1880,0.0,0.0,0,1880.0,Grover Cleveland,Democrat,463137.35114503815,453684.27142857143,473985.1475409836
6,1898,3229,0.0,0.0,0,3229.0,Grover Cleveland,Democrat,463137.35114503815,453684.27142857143,473985.1475409836
7,1899,4052,0.0,0.0,0,4052.0,William McKinley,Republican,463137.35114503815,453684.27142857143,473985.1475409836
8,1900,4602,0.0,0.0,0,4602.0,William McKinley,Republican,463137.35114503815,453684.27142857143,473985.1475409836
9,1901,3879,0.0,0.0,0,3879.0,William McKinley,Republican,463137.35114503815,453684.27142857143,473985.1475409836
10,1902,5439,0.0,0.0,0,5439.0,William McKinley,Republican,463137.35114503815,453684.27142857143,473985.1475409836
11,1903,9316,0.0,0.0,0,9316.0,Theodore Roosevelt,Republican,463137.35114503815,453684.27142857143,473985.1475409836
12,1904,8773,0.0,0.0,0,8773.0,Theodore Roosevelt,Republican,463137.35114503815,453684.27142857143,473985.1475409836
13,1905,12724,0.0,0.0,0,12724.0,Theodore Roosevelt,Republican,463137.35114503815,453684.27142857143,473985.1475409836
14,1906,13108,0.0,0.0,0,13108.0,Theodore Roosevelt,Republican,463137.35114503815,453684.27142857143,473985.1475409836
15,1907,14059,0.0,0.0,0,14059.0,Theodore Roosevelt,Republican,463137.35114503815,453684.27142857143,473985.1475409836
16,1908,12971,0.0,0.0,0,12971.0,Theodore Roosevelt,Republican,463137.35114503815,453684.27142857143,473985.1475409836
17,1909,12535,0.0,0.0,0,12535.0,Theodore Roosevelt,Republican,463137.35114503815,453684.27142857143,473985.1475409836
